RunID,m1,m2,k1,k2,alpha,beta_ray,omega1,omega2,zeta1,zeta2
24,800,1600,220000,550000,4.719e-05,0.5629,12.570505333448,24.4587897423759,0.0226863135418708,0.0120842157968086
25,800,1600,240000,600000,2.904e-05,0.3464,13.1294646157514,25.5463727151964,0.0133823429968292,0.00715076082165733
26,800,1600,240000,600000,3.267e-05,0.3897,13.1294646157514,25.5463727151964,0.0150551358714329,0.00804460592436449
27,800,1600,240000,600000,3.63e-05,0.433,13.1294646157514,25.5463727151964,0.0167279287460365,0.00893845102707166
28,800,1600,240000,600000,3.993e-05,0.4763,13.1294646157514,25.5463727151964,0.0184007216206402,0.00983229612977882
29,800,1600,240000,600000,4.356e-05,0.5196,13.1294646157514,25.5463727151964,0.0200735144952438,0.010726141232486
30,800,1600,240000,600000,4.719e-05,0.5629,13.1294646157514,25.5463727151964,0.0217463073698475,0.0116199863351932
31,800,1600,260000,650000,2.904e-05,0.3464,13.6655800409017,26.5895077454568,0.0128726026677194,0.00689992720684734
32,800,1600,260000,650000,3.267e-05,0.3897,13.6655800409017,26.5895077454568,0.0144816780011843,0.00776241810770325
33,800,1600,260000,650000,3.63e-05,0.433,13.6655800409017,26.5895077454568,0.0160907533346493,0.00862490900855917
34,800,1600,260000,650000,3.993e-05,0.4763,13.6655800409017,26.5895077454568,0.0176998286681142,0.00948739990941509
35,800,1600,260000,650000,4.356e-05,0.5196,13.6655800409017,26.5895077454568,0.0193089040015791,0.010349890810271
36,800,1600,260000,650000,4.719e-05,0.5629,13.6655800409017,26.5895077454568,0.0209179793350441,0.0112123817111269
37,900,1800,160000,400000,2.904e-05,0.3464,10.1070665736263,19.6656068852495,0.0172832797040451,0.00909279887118059
38,900,1800,160000,400000,3.267e-05,0.3897,10.1070665736263,19.6656068852495,0.0194436896670507,0.0102293987300782
39,900,1800,160000,400000,3.63e-05,0.433,10.1070665736263,19.6656068852495,0.0216040996300564,0.0113659985889757
40,900,1800,160000,400000,3.993e-05,0.4763,10.1070665736263,19.6656068852495,0.023764509593062,0.0125025984478733
41,900,1800,160000,400000,4.356e-05,0.5196,10.1070665736263,19.6656068852495,0.0259249195560676,0.0136391983067709
42,900,1800,160000,400000,4.719e-05,0.5629,10.1070665736263,19.6656068852495,0.0280853295190733,0.0147757981656685
43,900,1800,180000,450000,2.904e-05,0.3464,10.7201629681726,20.8585259770632,0.0163121275694208,0.00860642474427924
44,900,1800,180000,450000,3.267e-05,0.3897,10.7201629681726,20.8585259770632,0.0183511435155984,0.00968222783731414
45,900,1800,180000,450000,3.63e-05,0.433,10.7201629681726,20.8585259770632,0.020390159461776,0.010758030930349
46,900,1800,180000,450000,3.993e-05,0.4763,10.7201629681726,20.8585259770632,0.0224291754079536,0.011833834023384
47,900,1800,180000,450000,4.356e-05,0.5196,10.7201629681726,20.8585259770632,0.0244681913541312,0.0129096371164188
48,900,1800,180000,450000,4.719e-05,0.5629,10.7201629681726,20.8585259770632,0.0265072073003088,0.0139854402094538
49,900,1800,200000,500000,2.904e-05,0.3464,11.3000439558722,21.9868169071029,0.0154914506446028,0.00819669626897549
50,900,1800,200000,500000,3.267e-05,0.3897,11.3000439558722,21.9868169071029,0.0174278819751781,0.00922128330259742
51,900,1800,200000,500000,3.63e-05,0.433,11.3000439558722,21.9868169071029,0.0193643133057535,0.0102458703362194
52,900,1800,200000,500000,3.993e-05,0.4763,11.3000439558722,21.9868169071029,0.0213007446363288,0.0112704573698413
53,900,1800,200000,500000,4.356e-05,0.5196,11.3000439558722,21.9868169071029,0.0232371759669041,0.0122950444034632
54,900,1800,200000,500000,4.719e-05,0.5629,11.3000439558722,21.9868169071029,0.0251736072974795,0.0133196314370852
55,900,1800,220000,550000,2.904e-05,0.3464,11.8515860856304,23.0599681152667,0.0147861627364063,0.00784568240578921
56,900,1800,220000,550000,3.267e-05,0.3897,11.8515860856304,23.0599681152667,0.0166344330784571,0.00882639270651286
57,900,1800,220000,550000,3.63e-05,0.433,11.8515860856304,23.0599681152667,0.0184827034205079,0.00980710300723651
58,900,1800,220000,550000,3.993e-05,0.4763,11.8515860856304,23.0599681152667,0.0203309737625586,0.0107878133079602
59,900,1800,220000,550000,4.356e-05,0.5196,11.8515860856304,23.0599681152667,0.0221792441046094,0.0117685236086838
60,900,1800,220000,550000,4.719e-05,0.5629,11.8515860856304,23.0599681152667,0.0240275144466602,0.0127492339094075
61,900,1800,240000,600000,2.904e-05,0.3464,12.3785779508622,24.0853511755125,0.0141716511028526,0.00754081228907192
62,900,1800,240000,600000,3.267e-05,0.3897,12.3785779508622,24.0853511755125,0.0159431074907091,0.00848341382520591
63,900,1800,240000,600000,3.63e-05,0.433,12.3785779508622,24.0853511755125,0.0177145638785657,0.0094260153613399
64,900,1800,240000,600000,3.993e-05,0.4763,12.3785779508622,24.0853511755125,0.0194860202664223,0.0103686168974739
65,900,1800,240000,600000,4.356e-05,0.5196,12.3785779508622,24.0853511755125,0.0212574766542788,0.0113112184336079
66,900,1800,240000,600000,4.719e-05,0.5629,12.3785779508622,24.0853511755125,0.0230289330421354,0.0122538199697419
67,900,1800,260000,650000,2.904e-05,0.3464,12.8840324210255,25.068828313633,0.0136300724379525,0.00727297805309372
68,900,1800,260000,650000,3.267e-05,0.3897,12.8840324210255,25.068828313633,0.0153338314926966,0.00818210030973043
69,900,1800,260000,650000,3.63e-05,0.433,12.8840324210255,25.068828313633,0.0170375905474406,0.00909122256636715
70,900,1800,260000,650000,3.993e-05,0.4763,12.8840324210255,25.068828313633,0.0187413496021847,0.0100003448230039
71,900,1800,260000,650000,4.356e-05,0.5196,12.8840324210255,25.068828313633,0.0204451086569288,0.0109094670796406
72,900,1800,260000,650000,4.719e-05,0.5629,12.8840324210255,25.068828313633,0.0221488677116728,0.0118185893362773
73,1000,2000,160000,400000,2.904e-05,0.3464,9.58840525068392,18.6564327980634,0.0182027071403767,0.00955455253466534
74,1000,2000,160000,400000,3.267e-05,0.3897,9.58840525068392,18.6564327980634,0.0204780455329238,0.0107488716014985
75,1000,2000,160000,400000,3.63e-05,0.433,9.58840525068392,18.6564327980634,0.0227533839254709,0.0119431906683317
76,1000,2000,160000,400000,3.993e-05,0.4763,9.58840525068392,18.6564327980634,0.0250287223180179,0.0131375097351648
77,1000,2000,160000,400000,4.356e-05,0.5196,9.58840525068392,18.6564327980634,0.027304060710565,0.014331828801998
78,1000,2000,160000,400000,4.719e-05,0.5629,9.58840525068392,18.6564327980634,0.0295793991031121,0.0155261478688312
79,1000,2000,180000,450000,2.904e-05,0.3464,10.170039560285,19.7881352163927,0.0171780845370414,0.00904004337610242
80,1000,2000,180000,450000,3.267e-05,0.3897,10.170039560285,19.7881352163927,0.0193253451041716,0.0101700487981152
81,1000,2000,180000,450000,3.63e-05,0.433,10.170039560285,19.7881352163927,0.0214726056713018,0.011300054220128
82,1000,2000,180000,450000,3.993e-05,0.4763,10.170039560285,19.7881352163927,0.023619866238432,0.0124300596421408
83,1000,2000,180000,450000,4.356e-05,0.5196,10.170039560285,19.7881352163927,0.0257671268055622,0.0135600650641536
84,1000,2000,180000,450000,4.719e-05,0.5629,10.170039560285,19.7881352163927,0.0279143873726924,0.0146900704861664
85,1000,2000,200000,500000,2.904e-05,0.3464,10.7201629681726,20.8585259770632,0.0163121275694208,0.00860642474427924
86,1000,2000,200000,500000,3.267e-05,0.3897,10.7201629681726,20.8585259770632,0.0183511435155984,0.00968222783731414
87,1000,2000,200000,500000,3.63e-05,0.433,10.7201629681726,20.8585259770632,0.020390159461776,0.010758030930349
88,1000,2000,200000,500000,3.993e-05,0.4763,10.7201629681726,20.8585259770632,0.0224291754079536,0.0118338340233839
89,1000,2000,200000,500000,4.356e-05,0.5196,10.7201629681726,20.8585259770632,0.0244681913541312,0.0129096371164189
90,1000,2000,200000,500000,4.719e-05,0.5629,10.7201629681726,20.8585259770632,0.0265072073003088,0.0139854402094538
91,1000,2000,220000,550000,2.904e-05,0.3464,11.2434017748454,21.8766066045309,0.0155678446787872,0.0082347811415458
92,1000,2000,220000,550000,3.267e-05,0.3897,11.2434017748454,21.8766066045309,0.0175138252636356,0.00926412878423902
93,1000,2000,220000,550000,3.63e-05,0.433,11.2434017748454,21.8766066045309,0.019459805848484,0.0102934764269322
94,1000,2000,220000,550000,3.993e-05,0.4763,11.2434017748454,21.8766066045309,0.0214057864333323,0.0113228240696255
95,1000,2000,220000,550000,4.356e-05,0.5196,11.2434017748454,21.8766066045309,0.0233517670181807,0.0123521717123187
96,1000,2000,220000,550000,4.719e-05,0.5629,11.2434017748454,21.8766066045309,0.0252977476030291,0.0133815193550119
97,1000,2000,240000,600000,2.904e-05,0.3464,11.7433501555993,22.84937038789,0.0149192859584994,0.00791185042952597
98,1000,2000,240000,600000,3.267e-05,0.3897,11.7433501555993,22.84937038789,0.0167841967033118,0.00890083173321672
99,1000,2000,240000,600000,3.63e-05,0.433,11.7433501555993,22.84937038789,0.0186491074481242,0.00988981303690747
